66679,RIX,31
66861,RIX,122
67033,RIX,201
67035,RIX,202
67039,RIX,204
66921,RIX,152
66681,RIX,32
67001,RIX,185
66741,RIX,62
66941,RIX,160
66923,RIX,153
66977,RIX,175
66979,RIX,176
66925,RIX,154
66619,RIX,1
66621,RIX,2
66623,RIX,3
66801,RIX,92
66803,RIX,93
66805,RIX,94
66807,RIX,95
66809,RIX,96
66863,RIX,123
66743,RIX,63
66983,RIX,177
66745,RIX,64
66811,RIX,97
66865,RIX,124
67041,RIX,205
66625,RIX,4
66867,RIX,125
66683,RIX,33
66685,RIX,34
66869,RIX,126
66687,RIX,35
66813,RIX,98
66747,RIX,65
66749,RIX,66
66927,RIX,155
66689,RIX,36
66871,RIX,127
66751,RIX,67
66815,RIX,99
66929,RIX,156
66753,RIX,68
66627,RIX,5
66755,RIX,69
66757,RIX,70
66931,RIX,157
66873,RIX,128
66817,RIX,100
66629,RIX,6
67003,RIX,186
66691,RIX,37
66631,RIX,7
66633,RIX,8
66819,RIX,101
66759,RIX,71
66693,RIX,38
66761,RIX,72
66821,RIX,102
66875,RIX,129
66635,RIX,9
67023,RIX,196
66823,RIX,103
67005,RIX,187
67007,RIX,188
66825,RIX,104
66877,RIX,130
66879,RIX,131
66985,RIX,178
66827,RIX,105
66989,RIX,179
66763,RIX,73
66987,RIX,179
66765,RIX,74
66767,RIX,75
66933,RIX,158
66881,RIX,132
67009,RIX,189
66695,RIX,39
66937,RIX,159
66883,RIX,133
66769,RIX,76
66637,RIX,10
66697,RIX,40
67017,RIX,193
66885,RIX,134
66887,RIX,135
66889,RIX,136
66939,RIX,160
66943,RIX,161
66891,RIX,137
66699,RIX,41
66893,RIX,138
66945,RIX,162
66701,RIX,42
66639,RIX,11
66947,RIX,163
66641,RIX,12
66643,RIX,13
66645,RIX,14
66771,RIX,77
66773,RIX,78
66949,RIX,164
66953,RIX,165
66703,RIX,43
66775,RIX,79
66647,RIX,15
67021,RIX,195
66829,RIX,106
66895,RIX,139
66831,RIX,107
66705,RIX,44
66707,RIX,45
66777,RIX,80
66897,RIX,140
66833,RIX,108
66993,RIX,181
66899,RIX,141
66649,RIX,16
66901,RIX,142
66951,RIX,165
66835,RIX,109
66779,RIX,81
67015,RIX,192
66903,RIX,143
66905,RIX,144
66651,RIX,17
66955,RIX,166
66959,RIX,167
66653,RIX,18
66961,RIX,168
66655,RIX,19
66781,RIX,82
66783,RIX,83
66837,RIX,110
66785,RIX,84
66839,RIX,111
66709,RIX,46
66963,RIX,169
66965,RIX,170
66711,RIX,47
66713,RIX,48
66787,RIX,85
66715,RIX,49
66981,RIX,176
66657,RIX,20
66717,RIX,50
66719,RIX,51
66721,RIX,52
66841,RIX,112
66843,RIX,113
66845,RIX,114
66967,RIX,171
66995,RIX,182
66847,RIX,115
66723,RIX,53
66725,RIX,54
66659,RIX,21
66661,RIX,22
66727,RIX,55
66663,RIX,23
66729,RIX,56
66665,RIX,24
66731,RIX,57
66667,RIX,25
66849,RIX,116
67011,RIX,190
66969,RIX,172
66851,RIX,117
66971,RIX,173
66907,RIX,145
66997,RIX,183
66853,RIX,118
66671,RIX,27
66669,RIX,26
67037,RIX,203
66855,RIX,119
67019,RIX,194
66909,RIX,146
66733,RIX,58
66673,RIX,28
66911,RIX,147
66789,RIX,86
66991,RIX,180
66913,RIX,148
66915,RIX,149
66857,RIX,120
66859,RIX,121
66735,RIX,59
66791,RIX,87
66957,RIX,166
66675,RIX,29
66999,RIX,184
66793,RIX,88
